"sample_id","status","source_name_ch1","characteristics_ch1","characteristics_ch1.1"
"1","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"2","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"3","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"4","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"5","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"6","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"7","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"8","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"9","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"10","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"11","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"12","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"13","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"14","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"15","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"16","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"17","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"18","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"19","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"20","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"21","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"22","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"23","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"24","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"25","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"26","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"27","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"28","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"29","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"30","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"31","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"32","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"33","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"34","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"35","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"36","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"37","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"38","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"39","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"40","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"41","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"42","Public on May 09 2019","Liver","tissue: Liver","patient group: 1"
"43","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"44","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"45","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"46","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"47","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"48","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"49","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
"50","Public on May 09 2019","Liver","tissue: Liver","patient group: 2"
