"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell line:ch1","disease:ch1","treatment:ch1"
"Q1269p1; Control; 6 hours","GSM3380982","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1269p1","disease: Healthy human controls","treatment: Untreated; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025586","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665459","NONE","Q1269p1","Healthy human controls","Untreated; 6 hours"
"Q1508p1; Control; 6 hours","GSM3380983","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1508p1","disease: Healthy human controls","treatment: Untreated; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025585","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665460","NONE","Q1508p1","Healthy human controls","Untreated; 6 hours"
"Q1007; Control; 6 hours","GSM3380984","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1007","disease: FBXL4 mutations with complex I-III dysfunction","treatment: Untreated; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025584","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665461","NONE","Q1007","FBXL4 mutations with complex I-III dysfunction","Untreated; 6 hours"
"Q1039; Control; 6 hours","GSM3380985","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1039","disease: NDUFS8 mutations with complex I dysfunction","treatment: Untreated; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025583","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665462","NONE","Q1039","NDUFS8 mutations with complex I dysfunction","Untreated; 6 hours"
"Q1508; Control; 6 hours","GSM3380986","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1508","disease: MT-ND4 mutations with complex I dysfunction","treatment: Untreated; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025582","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665463","NONE","Q1508","MT-ND4 mutations with complex I dysfunction","Untreated; 6 hours"
"Q1269p1; Cysteamine; 6 hours","GSM3380987","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1269p1","disease: Healthy human controls","treatment: 0.5 uM cysteamine; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025581","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665464","NONE","Q1269p1","Healthy human controls","0.5 uM cysteamine; 6 hours"
"Q1508p1; Cysteamine; 6 hours","GSM3380988","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1508p1","disease: Healthy human controls","treatment: 0.5 uM cysteamine; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025580","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665465","NONE","Q1508p1","Healthy human controls","0.5 uM cysteamine; 6 hours"
"Q1007; Cysteamine; 6 hours","GSM3380989","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1007","disease: FBXL4 mutations with complex I-III dysfunction","treatment: 0.5 uM cysteamine; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025579","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665466","NONE","Q1007","FBXL4 mutations with complex I-III dysfunction","0.5 uM cysteamine; 6 hours"
"Q1039; Cysteamine; 6 hours","GSM3380990","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1039","disease: NDUFS8 mutations with complex I dysfunction","treatment: 0.5 uM cysteamine; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025578","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665467","NONE","Q1039","NDUFS8 mutations with complex I dysfunction","0.5 uM cysteamine; 6 hours"
"Q1508; Cysteamine; 6 hours","GSM3380991","Public on Mar 01 2019","Sep 09 2018","Mar 01 2019","SRA","1","FCL","Homo sapiens","cell line: Q1508","disease: MT-ND4 mutations with complex I dysfunction","treatment: 0.5 uM cysteamine; 6 hours","Cells were treated with 0.5 µM cysteamine bitartrate for either 6 hrs or 24 hrs, and compared to untreated RC disease and control cells. Each same 2 healthy controls and 3 patients were included in all treatment groups.","Fibroblast cell lines (FCL) from healthy human controls (Q1269p1, Q1508p1) and three primary RC disease subjects with pediatric-onset Leigh syndrome including (1) Q1007 - FBXL4 (c.1067delG;p.G356AfsX15 and c.1790A>C;p.Q597P) with complex I-III dysfunction ; (2) Q1508 - NDUFS8 (c.160C>T;p.R54W and c.58>C;p.G20R) with complex I dysfunction ; and (3) Q1039 - (MT-ND4, m.11778G>A heteroplasmy + MT-ND6 m.14484T>C homoplasmy) with complex I dysfunction","total RNA","RNA was extracted using Trizol, DNAse treated, and analyzed by Agilent Bioanalyzer to assess RNA quality.","cDNA library preparation was performed using the TruSeq Stranded Total RNA Sample Preparation Kit (Illumina, San Diego, CA).","9606","Align RNA-seq reads to reference genome (ws235) and transcriptome (iGenome) using the STAR program (version 2.5.1b)","Reads uniquely mapped to known genes were counted to obtain a read count matrix","Genes were annotated by unique Entrez IDs","Genome_build: hg38","Supplementary_files_format_and_content: Tab-delimited text file inclduing an integer matrix of gene-level read counts. Row names are unique official gene symbols. Data is not normalized.","GPL16791","Zhe,,Zhang","zhezhang@upenn.edu","University of Pennsylvania","Translational Research Lab","Philadelphia","PA","19104","USA","0","Illumina HiSeq 2500","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10025577","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4665468","NONE","Q1508","MT-ND4 mutations with complex I dysfunction","0.5 uM cysteamine; 6 hours"
