"sample_id","status","source_name_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","contact_state","library_source","disease.ch1"
"1","Public on Mar 01 2019","FCL","cell line: Q1269p1","disease: Healthy human controls","treatment: Untreated; 6 hours","PA","transcriptomic","Healthy human controls"
"2","Public on Mar 01 2019","FCL","cell line: Q1508p1","disease: Healthy human controls","treatment: Untreated; 6 hours","PA","transcriptomic","Healthy human controls"
"3","Public on Mar 01 2019","FCL","cell line: Q1007","disease: FBXL4 mutations with complex I-III dysfunction","treatment: Untreated; 6 hours","PA","transcriptomic","FBXL4 mutations with complex I-III dysfunction"
"4","Public on Mar 01 2019","FCL","cell line: Q1039","disease: NDUFS8 mutations with complex I dysfunction","treatment: Untreated; 6 hours","PA","transcriptomic","NDUFS8 mutations with complex I dysfunction"
"5","Public on Mar 01 2019","FCL","cell line: Q1508","disease: MT-ND4 mutations with complex I dysfunction","treatment: Untreated; 6 hours","PA","transcriptomic","MT-ND4 mutations with complex I dysfunction"
"6","Public on Mar 01 2019","FCL","cell line: Q1269p1","disease: Healthy human controls","treatment: 0.5 uM cysteamine; 6 hours","PA","transcriptomic","Healthy human controls"
"7","Public on Mar 01 2019","FCL","cell line: Q1508p1","disease: Healthy human controls","treatment: 0.5 uM cysteamine; 6 hours","PA","transcriptomic","Healthy human controls"
"8","Public on Mar 01 2019","FCL","cell line: Q1007","disease: FBXL4 mutations with complex I-III dysfunction","treatment: 0.5 uM cysteamine; 6 hours","PA","transcriptomic","FBXL4 mutations with complex I-III dysfunction"
"9","Public on Mar 01 2019","FCL","cell line: Q1039","disease: NDUFS8 mutations with complex I dysfunction","treatment: 0.5 uM cysteamine; 6 hours","PA","transcriptomic","NDUFS8 mutations with complex I dysfunction"
"10","Public on Mar 01 2019","FCL","cell line: Q1508","disease: MT-ND4 mutations with complex I dysfunction","treatment: 0.5 uM cysteamine; 6 hours","PA","transcriptomic","MT-ND4 mutations with complex I dysfunction"
"11","Public on Mar 01 2019","FCL","cell line: Q1269p1","disease: Healthy human controls","treatment: Untreated; 24 hours","PA","transcriptomic","Healthy human controls"
"12","Public on Mar 01 2019","FCL","cell line: Q1508p1","disease: Healthy human controls","treatment: Untreated; 24 hours","PA","transcriptomic","Healthy human controls"
"13","Public on Mar 01 2019","FCL","cell line: Q1007","disease: FBXL4 mutations with complex I-III dysfunction","treatment: Untreated; 24 hours","PA","transcriptomic","FBXL4 mutations with complex I-III dysfunction"
"14","Public on Mar 01 2019","FCL","cell line: Q1039","disease: NDUFS8 mutations with complex I dysfunction","treatment: Untreated; 24 hours","PA","transcriptomic","NDUFS8 mutations with complex I dysfunction"
"15","Public on Mar 01 2019","FCL","cell line: Q1508","disease: MT-ND4 mutations with complex I dysfunction","treatment: Untreated; 24 hours","PA","transcriptomic","MT-ND4 mutations with complex I dysfunction"
"16","Public on Mar 01 2019","FCL","cell line: Q1269p1","disease: Healthy human controls","treatment: 0.5 uM cysteamine; 24 hours","PA","transcriptomic","Healthy human controls"
"17","Public on Mar 01 2019","FCL","cell line: Q1508p1","disease: Healthy human controls","treatment: 0.5 uM cysteamine; 24 hours","PA","transcriptomic","Healthy human controls"
"18","Public on Mar 01 2019","FCL","cell line: Q1007","disease: FBXL4 mutations with complex I-III dysfunction","treatment: 0.5 uM cysteamine; 24 hours","PA","transcriptomic","FBXL4 mutations with complex I-III dysfunction"
"19","Public on Mar 01 2019","FCL","cell line: Q1039","disease: NDUFS8 mutations with complex I dysfunction","treatment: 0.5 uM cysteamine; 24 hours","PA","transcriptomic","NDUFS8 mutations with complex I dysfunction"
"20","Public on Mar 01 2019","FCL","cell line: Q1508","disease: MT-ND4 mutations with complex I dysfunction","treatment: 0.5 uM cysteamine; 24 hours","PA","transcriptomic","MT-ND4 mutations with complex I dysfunction"
