"sample_id","status","source_name_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4"
"1","Public on Jan 02 2020","Liver-CARWT_male","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: male","age: 16 weeks","tissue: Liver"
"2","Public on Jan 02 2020","Liver-CARWT_female","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: female","age: 16 weeks","tissue: Liver"
"3","Public on Jan 02 2020","Liver-CARKO_female","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: female","age: 16 weeks","tissue: Liver"
"4","Public on Jan 02 2020","Liver-CARKO_male","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: male","age: 16 weeks","tissue: Liver"
"5","Public on Jan 02 2020","Liver-CARKO_female","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: female","age: 16 weeks","tissue: Liver"
"6","Public on Jan 02 2020","Liver-CARKO_male","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: male","age: 16 weeks","tissue: Liver"
"7","Public on Jan 02 2020","Liver-CARWT_male","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: male","age: 16 weeks","tissue: Liver"
"8","Public on Jan 02 2020","Liver-CARWT_female","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: female","age: 16 weeks","tissue: Liver"
"9","Public on Jan 02 2020","Liver-CARWT_female","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: female","age: 16 weeks","tissue: Liver"
"10","Public on Jan 02 2020","Liver-CARWT_male","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: male","age: 16 weeks","tissue: Liver"
"11","Public on Jan 02 2020","Liver-CARKO_male","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: male","age: 16 weeks","tissue: Liver"
"12","Public on Jan 02 2020","Liver-CARKO_female","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: female","age: 16 weeks","tissue: Liver"
"13","Public on Jan 02 2020","Liver-CARKO_male","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: male","age: 16 weeks","tissue: Liver"
"14","Public on Jan 02 2020","Liver-CARKO_female","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: female","age: 16 weeks","tissue: Liver"
"15","Public on Jan 02 2020","Liver-CARWT_female","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: female","age: 16 weeks","tissue: Liver"
"16","Public on Jan 02 2020","Liver-CARWT_male","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: male","age: 16 weeks","tissue: Liver"
"17","Public on Jan 02 2020","Liver-CARWT_male","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: male","age: 16 weeks","tissue: Liver"
"18","Public on Jan 02 2020","Liver-CARWT_female","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: female","age: 16 weeks","tissue: Liver"
"19","Public on Jan 02 2020","Liver-CARKO_male","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: male","age: 16 weeks","tissue: Liver"
"20","Public on Jan 02 2020","Liver-CARKO_female","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: female","age: 16 weeks","tissue: Liver"
"21","Public on Jan 02 2020","Liver-CARKO_female","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: female","age: 16 weeks","tissue: Liver"
"22","Public on Jan 02 2020","Liver-CARKO_male","strain background: C57 BL/6J","genotype/variation: CARKO","Sex: male","age: 16 weeks","tissue: Liver"
"23","Public on Jan 02 2020","Liver-CARWT_female","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: female","age: 16 weeks","tissue: Liver"
"24","Public on Jan 02 2020","Liver-CARWT_male","strain background: C57 BL/6J","genotype/variation: CARWT","Sex: male","age: 16 weeks","tissue: Liver"
