"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","data_processing.6","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","diet:ch1","genotype:ch1","Sex:ch1","strain:ch1","tissue:ch1"
"WT_NDF_1","GSM4079560","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749022","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849636","NONE","normal chow","wild type (WT)","female","C57BL/6","liver"
"WT_NDF_2","GSM4079561","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749021","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849637","NONE","normal chow","wild type (WT)","female","C57BL/6","liver"
"WT_NDF_3","GSM4079562","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749020","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849638","NONE","normal chow","wild type (WT)","female","C57BL/6","liver"
"WT_NDF_4","GSM4079563","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749019","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849639","NONE","normal chow","wild type (WT)","female","C57BL/6","liver"
"WT_CDF_1","GSM4079564","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749018","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849640","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","wild type (WT)","female","C57BL/6","liver"
"WT_CDF_2","GSM4079565","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749017","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849641","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","wild type (WT)","female","C57BL/6","liver"
"WT_CDF_3","GSM4079566","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749016","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849642","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","wild type (WT)","female","C57BL/6","liver"
"WT_CDF_4","GSM4079567","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","tissue: liver","strain: C57BL/6","genotype: wild type (WT)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749015","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849643","NONE","choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat)","wild type (WT)","female","C57BL/6","liver"
"KO_NDF_1","GSM4079568","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749014","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849644","NONE","normal chow","Cyp2b9/10/13-null (KO)","female","C57BL/6","liver"
"KO_NDF_2","GSM4079569","Public on Dec 31 2019","Sep 14 2019","Dec 31 2019","SRA","1","liver","Mus musculus","diet: normal chow","tissue: liver","strain: C57BL/6","genotype: Cyp2b9/10/13-null (KO)","Sex: female","WT and Cyp2b-null mice were fed either a normal chow diet (ND) or choline-deficient, L-amino acid-defined high fat diet (CDAHFD, 0.1% methionine and 62% fat) for 8 weeks.","total RNA","Livers were removed and stored at -80 degrees C. RNA was extracted from each treatment group (n=4) using Trizol.","Libraries were prepared using NEB Next Ultra RNA Library Prep kit.","10090","Illumina Control Software/Real-Time Analysis (RTA) was used for base-calling.","Samples were sequenced to an average sequencing depth of 20,000,000 read pairs with a 2 x 150 paired-end module.","Quality metrics were checked using FastQC on all samples sequenced, and Trimmomatic was used to trim low quality bases.","Trimmed reads were aligned to the Mus musculus reference genome (GCF_000001635.25_GRCm38.p6) using GSNAP.  Subread feature counts software finds reads that aligned with known genes.","Raw read counts and EdgeR were used to determine differential gene expression.","Genome_build: GRCm38.p6","Supplementary_files_format_and_content: Tab-deliminated text file includes raw counts for each sample.","GPL24247","William,S,Baldwin","baldwin@clemson.edu","915-491-7366","Dr. William Baldwin","Biological Sciences","Clemson University","230 Parkway Dr","Clemson","South Carolina","29634","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12749013","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6849645","NONE","normal chow","Cyp2b9/10/13-null (KO)","female","C57BL/6","liver"
