"title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","relation.2","supplementary_file_1","common name:ch1","generation and f0-treatment:ch1","Sex:ch1","tissue:ch1"
"F12M1, liver, RNA-Seq","GSM5412628","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987928","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326453","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412628/suppl/GSM5412628_Cufflinks_F12M1.tabular.txt.gz","tropical clawed frog","F1 generation (From F0 Mixture exposed)","female","Liver"
"F12M4, liver, RNA-Seq","GSM5412629","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987927","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326454","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412629/suppl/GSM5412629_Cufflinks_F12-M4.tabular.txt.gz","tropical clawed frog","F1 generation (From F0 Mixture exposed)","female","Liver"
"F12M8, liver, RNA-Seq","GSM5412630","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987926","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326455","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412630/suppl/GSM5412630_Cufflinks_F12M8.tabular.txt.gz","tropical clawed frog","F1 generation (From F0 Mixture exposed)","female","Liver"
"F12M9, liver, RNA-Seq","GSM5412631","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987925","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326456","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412631/suppl/GSM5412631_Cufflinks_F12M13.tabular.txt.gz","tropical clawed frog","F1 generation (From F0 Mixture exposed)","female","Liver"
"F12M13, liver, RNA-Seq","GSM5412632","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F1 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987924","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326457","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412632/suppl/GSM5412632_Cufflinks_F12-M9.tabular.txt.gz","tropical clawed frog","F1 generation (From F0 Mixture exposed)","female","Liver"
"F22M1, liver, RNA-Seq","GSM5412633","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987923","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326458","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412633/suppl/GSM5412633_Cufflinks_F22M1.tabular.txt.gz","tropical clawed frog","F2 generation (From F0 Mixture exposed)","female","Liver"
"F22M2, liver, RNA-Seq","GSM5412634","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987922","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326459","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412634/suppl/GSM5412634_Cufflinks_F22M2.tabular.txt.gz","tropical clawed frog","F2 generation (From F0 Mixture exposed)","female","Liver"
"F22M3, liver, RNA-Seq","GSM5412635","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987921","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326460","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412635/suppl/GSM5412635_Cufflinks_F22M3.tabular.txt.gz","tropical clawed frog","F2 generation (From F0 Mixture exposed)","female","Liver"
"F22M4, liver, RNA-Seq","GSM5412636","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987920","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326461","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412636/suppl/GSM5412636_Cufflinks_F22M4.tabular.txt.gz","tropical clawed frog","F2 generation (From F0 Mixture exposed)","female","Liver"
"F22M5, liver, RNA-Seq","GSM5412637","Public on Oct 30 2021","Jul 01 2021","Oct 30 2021","SRA","1","Liver","Xenopus tropicalis","common name: tropical clawed frog","generation and f0-treatment: F2 generation (From F0 Mixture exposed)","Sex: female","tissue: Liver","F0 generation exposure from the tadpole to the mature adult stage at a concentration (50 ng.L-1). Females from F1 and F2 generation were not exposed.","total RNA","For each biological replicate, the RNAqueous®-4PCR Kit (Ambion, Austin USA) was used to extract the total RNA from 15 mg of liver according to manufacturer instructions","RNA-seq libraries were prepared using the TruSeq Stranded mRNA sample Prep kit (Illumina, San Diego, USA) and sequenced on an Illumina GAIIx sequencer as 75 bp reads","8364","Reads were filtered based on their length, pairing, and quality using Trimmomatic (v0.32.1)","Cleaned reads were mapped to the Xenopus genome (10.0 assembly) using HISAT2.","The Cufflinks (v0.0.7) tool was applied to HISAT2 alignments to enumerate the number of short reads overlapping the Ensembl annotated genes, for each library","The Cuffmerge (v0.0.6) toll was used to merge transcriptome","Cuffdiff (v0.0.7) toll was used for differential  gene expression  analysis. Control mRNAseq data have been have been deposited on NCBI Gene Expression Omnibus (GEO) (accession no GSE150911).","Supplementary_files_format_and_content: Cuffdiff file.txt","GPL24898","Stéphane,,REYNAUD","stephane.reynaud@univ-grenoble-alpes.fr","04 76 51 46 80","Laboratory of alpine ecology","Grenoble-Alpes University","2233 rue de la piscine","Saint Martin d'Hères","38400","France","0","Illumina Genome Analyzer IIx","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN19987919","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX11326462","","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5412nnn/GSM5412637/suppl/GSM5412637_Cufflinks_F22M5.tabular.txt.gz","tropical clawed frog","F2 generation (From F0 Mixture exposed)","female","Liver"
