"sample_id","status","source_name_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","contact_state"
"1","Public on Nov 12 2014","LF_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 1 Day","Delhi"
"2","Public on Nov 12 2014","LF_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 1 Day","Delhi"
"3","Public on Nov 12 2014","LF_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 1 Day","Delhi"
"4","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 1 Day","Delhi"
"5","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 1 Day","Delhi"
"6","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 1 Day","Delhi"
"7","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 6 Day","Delhi"
"8","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 6 Day","Delhi"
"9","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 6 Day","Delhi"
"10","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 6 Day","Delhi"
"11","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 6 Day","Delhi"
"12","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 6 Day","Delhi"
"13","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 10 Day","Delhi"
"14","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 10 Day","Delhi"
"15","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 10 Day","Delhi"
"16","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 10 Day","Delhi"
"17","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 10 Day","Delhi"
"18","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 10 Day","Delhi"
"19","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 14 Day","Delhi"
"20","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 14 Day","Delhi"
"21","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: 14 Day","Delhi"
"22","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 14 Day","Delhi"
"23","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 14 Day","Delhi"
"24","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: 14 Day","Delhi"
"25","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week0","Delhi"
"26","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week0","Delhi"
"27","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week0","Delhi"
"28","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week0","Delhi"
"29","Public on Nov 12 2014","HFC_Liver","strain: C57BL/6J","fed with: High fat diet","tissue: liver","time point: Week0","Delhi"
"30","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week3","Delhi"
"31","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week3","Delhi"
"32","Public on Nov 12 2014","LFC_Liver","strain: C57BL/6J","fed with: Low fat diet","tissue: liver","time point: Week3","Delhi"
"33","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week3","Delhi"
"34","Public on Nov 12 2014","HF20_Liver","strain: C57BL/6J","fed with: High fat+20µg of KAL diet","tissue: liver","time point: Week3","Delhi"
